Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Spike-in Quality Control]	Parameter Value[Spike-in Mix Number]	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Parameter Value[Library QA Instrument]	Parameter Value[Library QA Assay]	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Batch Number]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
RR23_R-EDL_FLT_F1_techrep1	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.5	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_FLT_F1_techrep1	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	438	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_FLT_F1_techrep1_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_FLT_F1_techrep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	92435321	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.54	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_FLT_F1_techrep2	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.5	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_FLT_F1_techrep2	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	448	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_FLT_F1_techrep2_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_FLT_F1_techrep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	114136037	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.36	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_FLT_F2	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.4	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_FLT_F2	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	469	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_FLT_F2_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_FLT_F2_R2_raw.fastq.gz	GeneLab raw data processing protocol	94177785	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_FLT_F3	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.5	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_FLT_F3	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	457	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_FLT_F3_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_FLT_F3_R2_raw.fastq.gz	GeneLab raw data processing protocol	101168454	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_FLT_F4	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.4	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_FLT_F4	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	461	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_FLT_F4_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_FLT_F4_R2_raw.fastq.gz	GeneLab raw data processing protocol	94696022	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_FLT_F5	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	9.1	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_FLT_F5	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	459	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_FLT_F5_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_FLT_F5_R2_raw.fastq.gz	GeneLab raw data processing protocol	99664082	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_FLT_F6	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.4	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_FLT_F6	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	444	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_FLT_F6_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_FLT_F6_R2_raw.fastq.gz	GeneLab raw data processing protocol	84970334	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.38	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_FLT_F7	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.6	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_FLT_F7	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	468	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_FLT_F7_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_FLT_F7_R2_raw.fastq.gz	GeneLab raw data processing protocol	100730339	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.47	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_FLT_F8	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.6	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_FLT_F8	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	457	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_FLT_F8_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_FLT_F8_R2_raw.fastq.gz	GeneLab raw data processing protocol	101968913	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.47	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_FLT_F9	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.6	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_FLT_F9	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	461	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_FLT_F9_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_FLT_F9_R2_raw.fastq.gz	GeneLab raw data processing protocol	98082584	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
